"POI Data Provider","0,695","A"
"Business API Ecosystem - Biz Ecosystem RI","0,695","A"
"Store - WStore","0,66","A"
"3D-UI-XML3D","0,653","A"
"Privacy","0,646","A"
"Authorization PDP - AuthZForce","0,639","A"
"Repository - Repository RI","0,639","A"
"Synchronization - FiVES","0,632","A"
"Application Mashup - Wirecloud","0,625","A"
"Augmented Reality","0,618","A"
"Trustworthy Factory","0,611","A"
"IoT Discovery","0,604","A"
"Interface Designer","0,604","A"
"Policy Manager - Bosun","0,597","B"
"Complex Event Processing (CEP) - Proactive Technology Online","0,597","B"
"3DUI - WebTundra","0,597","B"
"Backend Device Management - IDAS","0,59","B"
"Data Visualization - SpagoBI","0,59","B"
"GIS Data Provider - Geoserver/3D","0,583","B"
"Marketplace - WMarket","0,583","B"
"FIWARE NGSI10 TestServer","0,583","B"
"Identity Management - KeyRock","0,576","B"
"Synchronization","0,576","B"
"Stream-oriented - Kurento","0,576","B"
"IoT Data Edge Consolidation GE - Cepheus","0,576","B"
"Self Service Interfaces - Cloud Portal","0,57","B"
"CKAN","0,562","B"
"Publish/Subscribe Context Broker - Orion Context Broker","0,549","B"
"Cyber Security GE - CyberCAPTOR","0,549","B"
"PEP Proxy - Wilma","0,549","B"
"SoPeCo","0,542","B"
"Electronic Data Exchange - Domibus","0,514","B"
"Real Virtual Interaction","0,514","B"
"2D-UI","0,514","B"
"IoT Broker","0,507","B"
"Cloud Messaging - AEON","0,507","B"
"Virtual Characters","0,493","C"
"2D/3D Capture","0,486","C"
"Trace Analyzer","0,465","C"
"Security Monitoring","0,451","C"
"Revenue Settlement and Sharing System - RSS RI","0,445","C"
"Protocol Adapter - MR CoAP","0,438","C"
"Application Management - Murano","0,403","C"
"Kiara Advanced Middleware","0,396","D"
"Object Storage GE - FIWARE Implementation","0,389","D"
"Unit Functional Testing Framework","0,361","D"
"Fast RTPS","0,354","D"
"PROSA","0,354","D"
"FIA Project Management Plugin","0,347","D"
"Network Information and Control - OFNIC","0,333","D"
"Software Deployment & Configuration - Sagitta","0,326","D"
"REST Client Generator","0,326","D"
"PaaS Manager - Pegasus","0,312","D"
"FusionForge Connector","0,306","D"
"Cloud Rendering","0,299","D"
"Docker","0,299","D"
"myForge","0,299","D"
"BigData Analysis - Cosmos","0,271","D"
"Monitoring GE - Sextant","0,264","D"
"IaaS GE - FIWARE Reference Implementation","0,264","D"
"3D-UI-WebTundra with Synchronization server","0,16","D"
"Wirecloud Monetization","0,139","D"
"3D-UI-XML3D Geo Visualization","0,139","D"
"Business Framework Consumption","0,139","D"
"Data Context Streams","0,139","D"
